"name", "slug"
"Unwash","unwash"
"UOMA Beauty","uomabeauty"
"UpCircle","upcircle"
"Urban Decay Cosmetics","urbandecaycosmetics"
"Urban Hydration","urbanhydration"
"Urban Skin Rx","urbanskinrx"
"Ursa Major","ursamajor"
"Valentino","valentino"
"VDL","vdl"
"Velour Lashes","velourlashes"
"Vera Wang","verawang"
"Versace","versace"
"Vichy","vichy"
"Viktor&Rolf","viktorandrolf"
"Vince Camuto","vincecamuto"
"Vitabath","vitabath"
"Vita Liberata","vitaliberata"
"VitaminSea.beauty","vitaminseabeauty"
"Viviscal","viviscal"
"Voir","voir"
"Volt","volt"
"W3LL PEOPLE","w3llpeople"
"Wahl","wahl"
"Wakse","wakse"
"We Are Paradoxx","weareparadoxx"
"Weleda","weleda"
"Wella","wella"
"Wet n Wild","wetnwild"
"Winky Lux","winkylux"
"Wunder2","wunder2"
"XX Revolution","xxrevolution"
"Yes to","yesto"
"Young Nails","youngnails"
"YourGoodSkin","yourgoodskin"
"YUNI","yuni"
"Yves Saint Laurent","yvessaintlaurent"
"ZitSticka","zitsticka"
"ZOEVA","zoeva"
"Zoya","zoya"
